analysis_set,signal,metric,point_estimate,ci_lower,ci_upper
bioasq_train,evidence_vs_answer_uncertainty,spearman_rho,0.11720918657099139,0.06047049318652036,0.17396623194692357
bioasq_train,evidence_uncertainty,auroc,0.5861119081779054,0.5343852223816357,0.6378591582974652
bioasq_train,evidence_uncertainty,aurc,0.1013447914215404,0.08564969619838726,0.11698399472178996
bioasq_train,answer_uncertainty,auroc,0.5152749880439981,0.4872300334768054,0.5461526781444285
bioasq_train,answer_uncertainty,aurc,0.12304163213099635,0.11601818535504944,0.12942291227724073
bioasq_train,combined_uncertainty,auroc,0.5869918699186992,0.5350882352941178,0.6380854854136776
bioasq_train,combined_uncertainty,aurc,0.10063980131790118,0.08486511769938467,0.11600541968704628
archehr_train,evidence_vs_answer_uncertainty,spearman_rho,0.2015702861544769,-0.2228521166852053,0.6180002165849013
archehr_train,evidence_uncertainty,auroc,0.45959595959595967,0.23232323232323235,0.6868686868686869
archehr_train,evidence_uncertainty,aurc,0.5746248374518499,0.4411039424971315,0.7156153053173178
archehr_train,answer_uncertainty,auroc,0.4191919191919192,0.19191919191919193,0.6515151515151515
archehr_train,answer_uncertainty,aurc,0.6057682313816215,0.46505151526166844,0.7457347961229331
archehr_train,combined_uncertainty,auroc,0.398989898989899,0.1565656565656566,0.6515151515151515
archehr_train,combined_uncertainty,aurc,0.6112540853968873,0.4428746799027856,0.7772939773880658
