analysis_set,signal,target_coverage,coverage,n_retained,retained_error_rate,retained_correctness
bioasq_train,evidence_uncertainty,1.0,1.0,973,0.1264131551901336,0.8735868448098664
bioasq_train,evidence_uncertainty,0.9,0.9003083247687564,876,0.12557077625570776,0.8744292237442922
bioasq_train,evidence_uncertainty,0.8,0.8006166495375129,779,0.11424903722721438,0.8857509627727856
bioasq_train,evidence_uncertainty,0.7,0.7009249743062693,682,0.10263929618768329,0.8973607038123167
bioasq_train,evidence_uncertainty,0.6,0.6002055498458376,584,0.09931506849315068,0.9006849315068494
bioasq_train,answer_uncertainty,1.0,1.0,973,0.1264131551901336,0.8735868448098664
bioasq_train,answer_uncertainty,0.9,0.9003083247687564,876,0.12304250559284116,0.8769574944071589
bioasq_train,answer_uncertainty,0.8,0.8006166495375129,779,0.12304250559284116,0.8769574944071589
bioasq_train,answer_uncertainty,0.7,0.7009249743062693,682,0.12304250559284115,0.8769574944071589
bioasq_train,answer_uncertainty,0.6,0.6002055498458376,584,0.12304250559284116,0.8769574944071589
bioasq_train,combined_uncertainty,1.0,1.0,973,0.1264131551901336,0.8735868448098664
bioasq_train,combined_uncertainty,0.9,0.9003083247687564,876,0.1187214611872146,0.8812785388127854
bioasq_train,combined_uncertainty,0.8,0.8006166495375129,779,0.11424903722721438,0.8857509627727856
bioasq_train,combined_uncertainty,0.7,0.7009249743062693,682,0.10263929618768329,0.8973607038123167
bioasq_train,combined_uncertainty,0.6,0.6002055498458376,584,0.10273972602739725,0.8972602739726028
archehr_train,evidence_uncertainty,1.0,1.0,20,0.55,0.44999999999999996
archehr_train,evidence_uncertainty,0.9,0.9,18,0.5555555555555556,0.4444444444444444
archehr_train,evidence_uncertainty,0.8,0.8,16,0.5625,0.4375
archehr_train,evidence_uncertainty,0.7,0.7,14,0.5714285714285714,0.4285714285714286
archehr_train,evidence_uncertainty,0.6,0.6,12,0.5833333333333334,0.41666666666666663
archehr_train,answer_uncertainty,1.0,1.0,20,0.55,0.44999999999999996
archehr_train,answer_uncertainty,0.9,0.9,18,0.5555555555555556,0.4444444444444444
archehr_train,answer_uncertainty,0.8,0.8,16,0.5625,0.4375
archehr_train,answer_uncertainty,0.7,0.7,14,0.5714285714285714,0.4285714285714286
archehr_train,answer_uncertainty,0.6,0.6,12,0.611111111111111,0.38888888888888895
archehr_train,combined_uncertainty,1.0,1.0,20,0.55,0.44999999999999996
archehr_train,combined_uncertainty,0.9,0.9,18,0.5555555555555556,0.4444444444444444
archehr_train,combined_uncertainty,0.8,0.8,16,0.5625,0.4375
archehr_train,combined_uncertainty,0.7,0.7,14,0.5714285714285714,0.4285714285714286
archehr_train,combined_uncertainty,0.6,0.6,12,0.6666666666666666,0.33333333333333337
