analysis_set,case_id,threshold,answer_uncertainty,n_answer_clusters
bioasq_train,bioasq13b_55031181e9bde69634000014,0.05,0.29228525323862886,2
bioasq_train,bioasq13b_55031181e9bde69634000014,0.1,-0.0,1
bioasq_train,bioasq13b_55031181e9bde69634000014,0.15,-0.0,1
bioasq_train,bioasq13b_55031181e9bde69634000014,0.2,-0.0,1
bioasq_train,bioasq13b_55031181e9bde69634000014,0.25,-0.0,1
bioasq_train,bioasq13b_55031181e9bde69634000014,0.3,-0.0,1
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.05,0.2775280104064451,3
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.1,0.14118174150460758,2
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.15,-0.0,1
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.2,-0.0,1
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.25,-0.0,1
bioasq_train,bioasq13b_532f062ad6d3ac6a34000027,0.3,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.05,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.1,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.15,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.2,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.25,-0.0,1
bioasq_train,bioasq13b_54f49995d0d681a040000002,0.3,-0.0,1
bioasq_train,bioasq13b_535d78137d100faa09000005,0.05,0.38997287335391506,3
bioasq_train,bioasq13b_535d78137d100faa09000005,0.1,-0.0,1
bioasq_train,bioasq13b_535d78137d100faa09000005,0.15,-0.0,1
bioasq_train,bioasq13b_535d78137d100faa09000005,0.2,-0.0,1
bioasq_train,bioasq13b_535d78137d100faa09000005,0.25,-0.0,1
bioasq_train,bioasq13b_535d78137d100faa09000005,0.3,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.05,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.1,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.15,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.2,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.25,-0.0,1
bioasq_train,bioasq13b_52d946c798d023950500000a,0.3,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.05,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.1,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.15,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.2,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.25,-0.0,1
bioasq_train,bioasq13b_5322d9339b2d7acc7e000011,0.3,-0.0,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.05,0.14118174150460758,2
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.1,-0.0,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.15,-0.0,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.2,-0.0,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.25,-0.0,1
bioasq_train,bioasq13b_553fa2201d53b76422000005,0.3,-0.0,1
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.05,0.2775280104064451,3
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.1,0.14118174150460758,2
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.15,0.14118174150460758,2
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.2,-0.0,1
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.25,-0.0,1
bioasq_train,bioasq13b_550324d7e9bde6963400002f,0.3,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.05,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.1,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.15,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.2,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.25,-0.0,1
bioasq_train,bioasq13b_52f125332059c6d71c000007,0.3,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.05,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.1,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.15,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.2,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.25,-0.0,1
bioasq_train,bioasq13b_54dcb29dc0bb8dce23000004,0.3,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.05,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.1,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.15,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.2,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.25,-0.0,1
bioasq_train,bioasq13b_533c388dc45e133714000008,0.3,-0.0,1
bioasq_train,bioasq13b_56c3323a50c68dd416000009,0.05,0.14118174150460758,2
bioasq_train,bioasq13b_56c3323a50c68dd416000009,0.1,-0.0,1
bioasq_train,bioasq13b_56c3323a50c68dd416000009,0.15,-0.0,1
bioasq_train,bioasq13b_56c3323a50c68dd416000009,0.2,-0.0,1
