analysis_set,case_id,answer_uncertainty,answer_pairwise_distance,n_answer_clusters
archehr_test,archehr_21,-0.0,0.022816795855760574,1
archehr_test,archehr_22,-0.0,0.04098065197467804,1
archehr_test,archehr_23,0.21732201127364886,0.10051174461841583,2
archehr_test,archehr_24,-0.0,0.0,1
archehr_test,archehr_25,-0.0,0.04458596557378769,1
archehr_test,archehr_26,0.2775280104064451,0.08880063146352768,3
archehr_test,archehr_27,-0.0,0.013150065205991268,1
archehr_test,archehr_28,0.14118174150460758,0.06293002516031265,2
archehr_test,archehr_29,0.29228525323862886,0.0947415679693222,2
archehr_test,archehr_30,0.40843137199002016,0.11865545064210892,4
archehr_test,archehr_31,-0.0,0.007268958725035191,1
archehr_test,archehr_32,0.45814600780483383,0.13040658831596375,3
archehr_test,archehr_33,0.21732201127364886,0.0626806691288948,2
archehr_test,archehr_34,-0.0,0.023468343541026115,1
archehr_test,archehr_35,0.21732201127364886,0.08561386168003082,2
archehr_test,archehr_36,-0.0,0.009280872531235218,1
archehr_test,archehr_37,-0.0,0.00962261762470007,1
archehr_test,archehr_38,-0.0,0.05220367759466171,1
archehr_test,archehr_39,0.14118174150460758,0.024509886279702187,2
archehr_test,archehr_40,-0.0,0.03738195076584816,1
archehr_test,archehr_41,-0.0,0.0029855675529688597,1
archehr_test,archehr_42,0.2775280104064451,0.14426593482494354,3
archehr_test,archehr_43,-0.0,0.013722489587962627,1
archehr_test,archehr_44,-0.0,0.0018486976623535156,1
archehr_test,archehr_45,0.30102999566398114,0.06752028316259384,2
archehr_test,archehr_46,-0.0,0.009719634428620338,1
archehr_test,archehr_47,-0.0,0.0023865250404924154,1
archehr_test,archehr_48,-0.0,0.011922786012291908,1
archehr_test,archehr_49,-0.0,0.0018383715068921447,1
archehr_test,archehr_50,-0.0,0.007613770198076963,1
archehr_test,archehr_51,0.34822537285722394,0.12728366255760193,3
archehr_test,archehr_52,-0.0,0.0,1
archehr_test,archehr_53,-0.0,0.02355186641216278,1
archehr_test,archehr_54,0.21732201127364886,0.07186564058065414,2
archehr_test,archehr_55,-0.0,0.012834485620260239,1
archehr_test,archehr_56,-0.0,0.0013396183494478464,1
archehr_test,archehr_57,0.14118174150460758,0.07292155921459198,2
archehr_test,archehr_58,-0.0,0.024596281349658966,1
archehr_test,archehr_59,-0.0,0.015154553577303886,1
archehr_test,archehr_60,0.29228525323862886,0.08566677570343018,2
archehr_test,archehr_61,0.2775280104064451,0.09972888976335526,3
archehr_test,archehr_62,-0.0,0.007819498889148235,1
archehr_test,archehr_63,0.2775280104064451,0.07647117227315903,3
archehr_test,archehr_64,-0.0,0.025502538308501244,1
archehr_test,archehr_65,0.6989700043360187,0.18547910451889038,6
archehr_test,archehr_66,-0.0,0.02743416279554367,1
archehr_test,archehr_67,0.5073786214160918,0.16281364858150482,4
archehr_test,archehr_68,-0.0,0.02159426547586918,1
archehr_test,archehr_69,0.5785580060704263,0.19832204282283783,4
archehr_test,archehr_70,-0.0,0.028887653723359108,1
archehr_test,archehr_71,0.30102999566398114,0.10225143283605576,2
archehr_test,archehr_72,-0.0,0.05806202441453934,1
archehr_test,archehr_73,0.30102999566398114,0.11409764736890793,2
archehr_test,archehr_74,-0.0,0.012293975800275803,1
archehr_test,archehr_75,-0.0,0.026104269549250603,1
archehr_test,archehr_76,-0.0,0.04331250861287117,1
archehr_test,archehr_77,0.5183520069376301,0.11487670242786407,4
