analysis_set,case_id,evidence_uncertainty,selected_sentence_ids,evidence_precision,evidence_recall,evidence_f1,majority_sentence_ids,medoid_sentence_ids,majority_mean_distance,medoid_mean_distance,majority_f1,medoid_f1
archehr_test,archehr_21,0.1325925925925926,"[""1"", ""3"", ""4"", ""6"", ""13"", ""15""]",,,,"[""1"", ""3"", ""4"", ""6"", ""13"", ""15""]","[""1"", ""3"", ""4"", ""6"", ""13"", ""15""]",0.07333333333333333,0.07333333333333333,,
archehr_test,archehr_22,0.0,"[""1"", ""2""]",,,,"[""1"", ""2""]","[""1"", ""2""]",0.0,0.0,,
archehr_test,archehr_23,0.0,"[""5"", ""6""]",,,,"[""5"", ""6""]","[""5"", ""6""]",0.0,0.0,,
archehr_test,archehr_24,0.23703703703703707,"[""4""]",,,,"[""4""]","[""4""]",0.13333333333333336,0.13333333333333336,,
archehr_test,archehr_25,0.0,"[""3""]",,,,"[""3""]","[""3""]",0.0,0.0,,
archehr_test,archehr_26,0.0,"[""3"", ""4""]",,,,"[""3"", ""4""]","[""3"", ""4""]",0.0,0.0,,
archehr_test,archehr_27,0.0,"[""12"", ""18"", ""24"", ""25""]",,,,"[""12"", ""18"", ""24"", ""25""]","[""12"", ""18"", ""24"", ""25""]",0.0,0.0,,
archehr_test,archehr_28,0.0,"[""4"", ""13""]",,,,"[""4"", ""13""]","[""4"", ""13""]",0.0,0.0,,
archehr_test,archehr_29,0.0,"[""2"", ""3""]",,,,"[""2"", ""3""]","[""2"", ""3""]",0.0,0.0,,
archehr_test,archehr_30,0.0,"[""6"", ""7"", ""8""]",,,,"[""6"", ""7"", ""8""]","[""6"", ""7"", ""8""]",0.0,0.0,,
archehr_test,archehr_31,0.0,"[""2"", ""6"", ""7""]",,,,"[""2"", ""6"", ""7""]","[""2"", ""6"", ""7""]",0.0,0.0,,
archehr_test,archehr_32,0.0,"[""6""]",,,,"[""6""]","[""6""]",0.0,0.0,,
archehr_test,archehr_33,0.0,"[""3"", ""4"", ""6""]",,,,"[""3"", ""4"", ""6""]","[""3"", ""4"", ""6""]",0.0,0.0,,
archehr_test,archehr_34,0.025,"[""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9""]",,,,"[""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""8"", ""9""]",0.0125,0.0125,,
archehr_test,archehr_35,0.0,"[""2"", ""5"", ""8""]",,,,"[""2"", ""5"", ""8""]","[""2"", ""5"", ""8""]",0.0,0.0,,
archehr_test,archehr_36,0.0,"[""6"", ""7"", ""10"", ""12""]",,,,"[""6"", ""7"", ""10"", ""12""]","[""6"", ""7"", ""10"", ""12""]",0.0,0.0,,
archehr_test,archehr_37,0.0,"[""12"", ""13"", ""14"", ""21""]",,,,"[""12"", ""13"", ""14"", ""21""]","[""12"", ""13"", ""14"", ""21""]",0.0,0.0,,
archehr_test,archehr_38,0.0,"[""7"", ""9"", ""14""]",,,,"[""7"", ""9"", ""14""]","[""7"", ""9"", ""14""]",0.0,0.0,,
archehr_test,archehr_39,0.0,"[""8"", ""9"", ""13"", ""14"", ""15""]",,,,"[""8"", ""9"", ""13"", ""14"", ""15""]","[""8"", ""9"", ""13"", ""14"", ""15""]",0.0,0.0,,
