analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,evidence_uncertainty,0.01,1,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.02,2,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.03,3,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.04,4,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.05,5,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.06,6,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.07,7,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.08,8,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.09,9,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.1,10,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.11,11,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.12,12,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.13,13,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.14,14,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.15,15,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.16,16,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.17,17,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.18,18,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.19,19,0.490566037735849,0.509433962264151
archehr_test,evidence_uncertainty,0.2,20,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.21,21,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.22,22,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.23,23,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.24,24,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.25,25,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.26,26,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.27,27,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.28,28,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.29,29,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.3,30,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.31,31,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.32,32,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.33,33,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.34,34,0.49056603773584906,0.5094339622641509
archehr_test,evidence_uncertainty,0.35,35,0.4905660377358491,0.5094339622641508
archehr_test,evidence_uncertainty,0.36,36,0.4905660377358491,0.5094339622641508
