analysis_set,signal,target_coverage,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,evidence_uncertainty,1.0,1.0,100,0.59,0.41000000000000003
archehr_test,evidence_uncertainty,0.9,0.9,90,0.5666666666666667,0.43333333333333335
archehr_test,evidence_uncertainty,0.8,0.8,80,0.5625,0.4375
archehr_test,evidence_uncertainty,0.7,0.7,70,0.5142857142857142,0.48571428571428577
archehr_test,evidence_uncertainty,0.6,0.6,60,0.5,0.5
archehr_test,answer_uncertainty,1.0,1.0,100,0.59,0.41000000000000003
archehr_test,answer_uncertainty,0.9,0.9,90,0.5777777777777777,0.4222222222222223
archehr_test,answer_uncertainty,0.8,0.8,80,0.5475,0.4525
archehr_test,answer_uncertainty,0.7,0.7,70,0.5357142857142857,0.4642857142857143
archehr_test,answer_uncertainty,0.6,0.6,60,0.5357142857142858,0.4642857142857142
archehr_test,combined_uncertainty,1.0,1.0,100,0.59,0.41000000000000003
archehr_test,combined_uncertainty,0.9,0.9,90,0.5777777777777777,0.4222222222222223
archehr_test,combined_uncertainty,0.8,0.8,80,0.5375,0.4625
archehr_test,combined_uncertainty,0.7,0.7,70,0.5,0.5
archehr_test,combined_uncertainty,0.6,0.6,60,0.48333333333333334,0.5166666666666666
