analysis_set,case_id,threshold,answer_uncertainty,n_answer_clusters
archehr_test,archehr_21,0.05,0.14118174150460758,2
archehr_test,archehr_21,0.1,-0.0,1
archehr_test,archehr_21,0.15,-0.0,1
archehr_test,archehr_21,0.2,-0.0,1
archehr_test,archehr_21,0.25,-0.0,1
archehr_test,archehr_21,0.3,-0.0,1
archehr_test,archehr_22,0.05,0.30102999566398114,2
archehr_test,archehr_22,0.1,-0.0,1
archehr_test,archehr_22,0.15,-0.0,1
archehr_test,archehr_22,0.2,-0.0,1
archehr_test,archehr_22,0.25,-0.0,1
archehr_test,archehr_22,0.3,-0.0,1
archehr_test,archehr_23,0.05,0.6387640052032225,5
archehr_test,archehr_23,0.1,0.21732201127364886,2
archehr_test,archehr_23,0.15,0.21732201127364886,2
archehr_test,archehr_23,0.2,-0.0,1
archehr_test,archehr_23,0.25,-0.0,1
archehr_test,archehr_23,0.3,-0.0,1
archehr_test,archehr_24,0.05,-0.0,1
archehr_test,archehr_24,0.1,-0.0,1
archehr_test,archehr_24,0.15,-0.0,1
archehr_test,archehr_24,0.2,-0.0,1
archehr_test,archehr_24,0.25,-0.0,1
archehr_test,archehr_24,0.3,-0.0,1
archehr_test,archehr_25,0.05,0.2652949955741215,2
archehr_test,archehr_25,0.1,-0.0,1
archehr_test,archehr_25,0.15,-0.0,1
archehr_test,archehr_25,0.2,-0.0,1
archehr_test,archehr_25,0.25,-0.0,1
archehr_test,archehr_25,0.3,-0.0,1
archehr_test,archehr_26,0.05,0.2775280104064451,3
archehr_test,archehr_26,0.1,0.2775280104064451,3
archehr_test,archehr_26,0.15,0.21732201127364886,2
archehr_test,archehr_26,0.2,0.21732201127364886,2
archehr_test,archehr_26,0.25,-0.0,1
archehr_test,archehr_26,0.3,-0.0,1
archehr_test,archehr_27,0.05,-0.0,1
archehr_test,archehr_27,0.1,-0.0,1
archehr_test,archehr_27,0.15,-0.0,1
archehr_test,archehr_27,0.2,-0.0,1
archehr_test,archehr_27,0.25,-0.0,1
archehr_test,archehr_27,0.3,-0.0,1
archehr_test,archehr_28,0.05,0.4729032506370176,4
archehr_test,archehr_28,0.1,0.14118174150460758,2
archehr_test,archehr_28,0.15,-0.0,1
archehr_test,archehr_28,0.2,-0.0,1
archehr_test,archehr_28,0.25,-0.0,1
archehr_test,archehr_28,0.3,-0.0,1
archehr_test,archehr_29,0.05,0.6387640052032225,5
archehr_test,archehr_29,0.1,0.29228525323862886,2
archehr_test,archehr_29,0.15,-0.0,1
archehr_test,archehr_29,0.2,-0.0,1
archehr_test,archehr_29,0.25,-0.0,1
archehr_test,archehr_29,0.3,-0.0,1
archehr_test,archehr_30,0.05,0.5331092497698138,5
archehr_test,archehr_30,0.1,0.40843137199002016,4
archehr_test,archehr_30,0.15,0.21732201127364886,2
archehr_test,archehr_30,0.2,0.21732201127364886,2
archehr_test,archehr_30,0.25,-0.0,1
archehr_test,archehr_30,0.3,-0.0,1
archehr_test,archehr_31,0.05,-0.0,1
archehr_test,archehr_31,0.1,-0.0,1
archehr_test,archehr_31,0.15,-0.0,1
archehr_test,archehr_31,0.2,-0.0,1
archehr_test,archehr_31,0.25,-0.0,1
archehr_test,archehr_31,0.3,-0.0,1
archehr_test,archehr_32,0.05,0.45814600780483383,3
archehr_test,archehr_32,0.1,0.45814600780483383,3
archehr_test,archehr_32,0.15,0.29228525323862886,2
archehr_test,archehr_32,0.2,-0.0,1
archehr_test,archehr_32,0.25,-0.0,1
archehr_test,archehr_32,0.3,-0.0,1
archehr_test,archehr_33,0.05,0.21732201127364886,2
archehr_test,archehr_33,0.1,0.21732201127364886,2
archehr_test,archehr_33,0.15,0.21732201127364886,2
archehr_test,archehr_33,0.2,-0.0,1
archehr_test,archehr_33,0.25,-0.0,1
archehr_test,archehr_33,0.3,-0.0,1
archehr_test,archehr_34,0.05,0.14118174150460758,2
archehr_test,archehr_34,0.1,-0.0,1
archehr_test,archehr_34,0.15,-0.0,1
archehr_test,archehr_34,0.2,-0.0,1
archehr_test,archehr_34,0.25,-0.0,1
archehr_test,archehr_34,0.3,-0.0,1
archehr_test,archehr_35,0.05,0.6762456261857126,5
archehr_test,archehr_35,0.1,0.21732201127364886,2
archehr_test,archehr_35,0.15,-0.0,1
archehr_test,archehr_35,0.2,-0.0,1
archehr_test,archehr_35,0.25,-0.0,1
archehr_test,archehr_35,0.3,-0.0,1
archehr_test,archehr_36,0.05,-0.0,1
archehr_test,archehr_36,0.1,-0.0,1
archehr_test,archehr_36,0.15,-0.0,1
archehr_test,archehr_36,0.2,-0.0,1
archehr_test,archehr_36,0.25,-0.0,1
archehr_test,archehr_36,0.3,-0.0,1
archehr_test,archehr_37,0.05,-0.0,1
archehr_test,archehr_37,0.1,-0.0,1
archehr_test,archehr_37,0.15,-0.0,1
archehr_test,archehr_37,0.2,-0.0,1
archehr_test,archehr_37,0.25,-0.0,1
archehr_test,archehr_37,0.3,-0.0,1
archehr_test,archehr_38,0.05,0.30102999566398114,2
archehr_test,archehr_38,0.1,-0.0,1
archehr_test,archehr_38,0.15,-0.0,1
archehr_test,archehr_38,0.2,-0.0,1
archehr_test,archehr_38,0.25,-0.0,1
archehr_test,archehr_38,0.3,-0.0,1
archehr_test,archehr_39,0.05,0.14118174150460758,2
archehr_test,archehr_39,0.1,0.14118174150460758,2
archehr_test,archehr_39,0.15,-0.0,1
archehr_test,archehr_39,0.2,-0.0,1
archehr_test,archehr_39,0.25,-0.0,1
archehr_test,archehr_39,0.3,-0.0,1
archehr_test,archehr_40,0.05,0.21732201127364886,2
archehr_test,archehr_40,0.1,-0.0,1
archehr_test,archehr_40,0.15,-0.0,1
archehr_test,archehr_40,0.2,-0.0,1
archehr_test,archehr_40,0.25,-0.0,1
archehr_test,archehr_40,0.3,-0.0,1
archehr_test,archehr_41,0.05,-0.0,1
archehr_test,archehr_41,0.1,-0.0,1
archehr_test,archehr_41,0.15,-0.0,1
archehr_test,archehr_41,0.2,-0.0,1
archehr_test,archehr_41,0.25,-0.0,1
archehr_test,archehr_41,0.3,-0.0,1
archehr_test,archehr_42,0.05,0.6160396270529163,5
archehr_test,archehr_42,0.1,0.2775280104064451,3
archehr_test,archehr_42,0.15,0.2775280104064451,3
archehr_test,archehr_42,0.2,0.14118174150460758,2
archehr_test,archehr_42,0.25,0.14118174150460758,2
archehr_test,archehr_42,0.3,0.14118174150460758,2
archehr_test,archehr_43,0.05,-0.0,1
archehr_test,archehr_43,0.1,-0.0,1
archehr_test,archehr_43,0.15,-0.0,1
archehr_test,archehr_43,0.2,-0.0,1
archehr_test,archehr_43,0.25,-0.0,1
archehr_test,archehr_43,0.3,-0.0,1
archehr_test,archehr_44,0.05,-0.0,1
archehr_test,archehr_44,0.1,-0.0,1
archehr_test,archehr_44,0.15,-0.0,1
archehr_test,archehr_44,0.2,-0.0,1
archehr_test,archehr_44,0.25,-0.0,1
archehr_test,archehr_44,0.3,-0.0,1
archehr_test,archehr_45,0.05,0.30102999566398114,2
archehr_test,archehr_45,0.1,0.30102999566398114,2
archehr_test,archehr_45,0.15,-0.0,1
archehr_test,archehr_45,0.2,-0.0,1
archehr_test,archehr_45,0.25,-0.0,1
archehr_test,archehr_45,0.3,-0.0,1
archehr_test,archehr_46,0.05,-0.0,1
archehr_test,archehr_46,0.1,-0.0,1
archehr_test,archehr_46,0.15,-0.0,1
archehr_test,archehr_46,0.2,-0.0,1
archehr_test,archehr_46,0.25,-0.0,1
archehr_test,archehr_46,0.3,-0.0,1
archehr_test,archehr_47,0.05,-0.0,1
archehr_test,archehr_47,0.1,-0.0,1
archehr_test,archehr_47,0.15,-0.0,1
archehr_test,archehr_47,0.2,-0.0,1
archehr_test,archehr_47,0.25,-0.0,1
archehr_test,archehr_47,0.3,-0.0,1
archehr_test,archehr_48,0.05,-0.0,1
archehr_test,archehr_48,0.1,-0.0,1
archehr_test,archehr_48,0.15,-0.0,1
archehr_test,archehr_48,0.2,-0.0,1
archehr_test,archehr_48,0.25,-0.0,1
archehr_test,archehr_48,0.3,-0.0,1
archehr_test,archehr_49,0.05,-0.0,1
archehr_test,archehr_49,0.1,-0.0,1
archehr_test,archehr_49,0.15,-0.0,1
archehr_test,archehr_49,0.2,-0.0,1
archehr_test,archehr_49,0.25,-0.0,1
archehr_test,archehr_49,0.3,-0.0,1
archehr_test,archehr_50,0.05,-0.0,1
archehr_test,archehr_50,0.1,-0.0,1
archehr_test,archehr_50,0.15,-0.0,1
archehr_test,archehr_50,0.2,-0.0,1
archehr_test,archehr_50,0.25,-0.0,1
archehr_test,archehr_50,0.3,-0.0,1
archehr_test,archehr_51,0.05,0.5301029995663982,4
archehr_test,archehr_51,0.1,0.34822537285722394,3
archehr_test,archehr_51,0.15,0.34822537285722394,3
archehr_test,archehr_51,0.2,0.14118174150460758,2
archehr_test,archehr_51,0.25,-0.0,1
archehr_test,archehr_51,0.3,-0.0,1
archehr_test,archehr_52,0.05,-0.0,1
archehr_test,archehr_52,0.1,-0.0,1
archehr_test,archehr_52,0.15,-0.0,1
archehr_test,archehr_52,0.2,-0.0,1
archehr_test,archehr_52,0.25,-0.0,1
archehr_test,archehr_52,0.3,-0.0,1
archehr_test,archehr_53,0.05,-0.0,1
archehr_test,archehr_53,0.1,-0.0,1
archehr_test,archehr_53,0.15,-0.0,1
archehr_test,archehr_53,0.2,-0.0,1
archehr_test,archehr_53,0.25,-0.0,1
archehr_test,archehr_53,0.3,-0.0,1
archehr_test,archehr_54,0.05,0.4126972515042214,3
archehr_test,archehr_54,0.1,0.21732201127364886,2
archehr_test,archehr_54,0.15,-0.0,1
archehr_test,archehr_54,0.2,-0.0,1
archehr_test,archehr_54,0.25,-0.0,1
archehr_test,archehr_54,0.3,-0.0,1
archehr_test,archehr_55,0.05,-0.0,1
archehr_test,archehr_55,0.1,-0.0,1
archehr_test,archehr_55,0.15,-0.0,1
archehr_test,archehr_55,0.2,-0.0,1
archehr_test,archehr_55,0.25,-0.0,1
archehr_test,archehr_55,0.3,-0.0,1
archehr_test,archehr_56,0.05,-0.0,1
archehr_test,archehr_56,0.1,-0.0,1
archehr_test,archehr_56,0.15,-0.0,1
archehr_test,archehr_56,0.2,-0.0,1
archehr_test,archehr_56,0.25,-0.0,1
archehr_test,archehr_56,0.3,-0.0,1
archehr_test,archehr_57,0.05,0.2775280104064451,3
archehr_test,archehr_57,0.1,0.14118174150460758,2
archehr_test,archehr_57,0.15,0.14118174150460758,2
archehr_test,archehr_57,0.2,0.14118174150460758,2
archehr_test,archehr_57,0.25,0.14118174150460758,2
archehr_test,archehr_57,0.3,-0.0,1
archehr_test,archehr_58,0.05,0.2652949955741215,2
archehr_test,archehr_58,0.1,-0.0,1
archehr_test,archehr_58,0.15,-0.0,1
archehr_test,archehr_58,0.2,-0.0,1
archehr_test,archehr_58,0.25,-0.0,1
archehr_test,archehr_58,0.3,-0.0,1
archehr_test,archehr_59,0.05,-0.0,1
archehr_test,archehr_59,0.1,-0.0,1
archehr_test,archehr_59,0.15,-0.0,1
archehr_test,archehr_59,0.2,-0.0,1
archehr_test,archehr_59,0.25,-0.0,1
archehr_test,archehr_59,0.3,-0.0,1
archehr_test,archehr_60,0.05,0.29228525323862886,2
archehr_test,archehr_60,0.1,0.29228525323862886,2
archehr_test,archehr_60,0.15,-0.0,1
archehr_test,archehr_60,0.2,-0.0,1
archehr_test,archehr_60,0.25,-0.0,1
archehr_test,archehr_60,0.3,-0.0,1
archehr_test,archehr_61,0.05,0.6160396270529163,5
archehr_test,archehr_61,0.1,0.2775280104064451,3
archehr_test,archehr_61,0.15,0.14118174150460758,2
